"","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","personal_status","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"3846","no checking",12,"critical/order existing credit","new car",926,"<100","unemployed",1,"female div/dep/mar","none",2,"life insurance",38,"stores","own",1,"unemp/unskilled non res",1,"0","1","good"
"3847","<0",24,"existing paid","radio/tv",3660,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",28,"stores","own",1,"skilled",1,"0","1","good"
"3848",">=200",12,"existing paid","radio/tv",3399,"no known savings",">=7",2,"male single","none",3,"car",37,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"3849","0<=X<200",24,"existing paid","new car",1201,"<100","<1",4,"male single","none",1,"life insurance",26,"stores","own",1,"skilled",1,"0","1","good"
"3850","no checking",15,"delayed previously","furniture/equipment",960,">=1000","4<=X<7",3,"female div/dep/mar","none",2,"life insurance",30,"stores","own",2,"skilled",1,"0","1","good"
"3851","0<=X<200",10,"all paid","radio/tv",1048,"<100","1<=X<4",4,"male single","none",4,"real estate",23,"stores","own",1,"unskilled resident",1,"0","1","good"
"3852","<0",42,"critical/order existing credit","repairs",3394,"<100","unemployed",4,"male single","co applicant",4,"car",65,"stores","own",2,"unemp/unskilled non res",1,"0","1","good"
"3853","no checking",15,"critical/order existing credit","radio/tv",1360,"<100","1<=X<4",4,"male single","none",2,"life insurance",31,"stores","own",2,"skilled",1,"0","1","good"
"3854","0<=X<200",20,"existing paid","used car",6468,"no known savings","unemployed",1,"male div/sep","none",4,"real estate",60,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3855","no checking",28,"all paid","used car",7824,"no known savings","<1",3,"male single","guarantor",4,"real estate",40,"bank","rent",2,"skilled",2,"1","1","good"
"3856","no checking",24,"existing paid","radio/tv",1413,"<100","1<=X<4",4,"male mar/wid","none",2,"life insurance",28,"stores","own",1,"skilled",1,"0","1","good"
"3857","0<=X<200",21,"critical/order existing credit","furniture/equipment",2745,">=1000","4<=X<7",3,"male single","none",2,"car",32,"stores","own",2,"skilled",1,"1","1","good"
"3858","0<=X<200",12,"existing paid","furniture/equipment",3017,"<100","<1",3,"female div/dep/mar","none",1,"real estate",34,"stores","rent",1,"high qualif/self emp/mgmt",1,"0","1","good"
"3859","no checking",6,"existing paid","furniture/equipment",1543,">=1000","1<=X<4",4,"male div/sep","none",2,"real estate",33,"stores","own",1,"skilled",1,"0","1","good"
"3860","0<=X<200",12,"existing paid","new car",2002,"<100","4<=X<7",3,"male single","none",4,"life insurance",30,"stores","rent",1,"skilled",2,"1","1","good"
"3861","0<=X<200",6,"existing paid","radio/tv",368,"no known savings",">=7",4,"male single","none",4,"life insurance",38,"stores","own",1,"skilled",1,"0","1","good"
"3862","no checking",12,"no credits/all paid","furniture/equipment",2759,"<100",">=7",2,"male single","none",4,"life insurance",34,"stores","own",2,"skilled",1,"0","1","good"
"3863","0<=X<200",30,"all paid","furniture/equipment",3496,">=1000","1<=X<4",4,"male single","none",2,"car",34,"stores","own",1,"skilled",2,"1","1","good"
"3864","0<=X<200",9,"existing paid","new car",1549,"no known savings","<1",4,"male single","none",2,"real estate",35,"stores","own",1,"unemp/unskilled non res",1,"0","1","good"
"3865","no checking",15,"critical/order existing credit","education",1532,"100<=X<500","1<=X<4",4,"female div/dep/mar","none",3,"car",31,"stores","own",1,"skilled",1,"0","1","good"
"3866","no checking",18,"existing paid","furniture/equipment",3422,"<100",">=7",4,"male single","none",4,"life insurance",47,"bank","own",3,"skilled",2,"1","1","good"
"3867","no checking",24,"existing paid","used car",7814,"<100","4<=X<7",3,"male single","none",3,"car",38,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3868","no checking",12,"existing paid","radio/tv",2141,"100<=X<500","4<=X<7",3,"male single","none",1,"no known property",35,"stores","own",1,"skilled",1,"0","1","good"
"3869","no checking",12,"existing paid","used car",4675,"no known savings","<1",1,"female div/dep/mar","none",4,"car",20,"stores","rent",1,"skilled",1,"0","1","good"
"3870","no checking",24,"critical/order existing credit","repairs",5507,"<100",">=7",3,"male single","none",4,"no known property",44,"stores","for free",2,"skilled",1,"0","1","good"
"3871","<0",9,"critical/order existing credit","repairs",1288,"100<=X<500",">=7",3,"male single","guarantor",4,"real estate",48,"stores","own",2,"skilled",2,"0","0","good"
"3872","<0",24,"existing paid","radio/tv",1603,"<100",">=7",4,"female div/dep/mar","none",4,"car",55,"stores","own",1,"skilled",1,"0","1","good"
"3873","no checking",36,"existing paid","used car",4686,"<100","1<=X<4",2,"male single","none",2,"no known property",32,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3874","no checking",12,"critical/order existing credit","furniture/equipment",1935,"<100",">=7",4,"male single","none",4,"real estate",43,"stores","own",3,"skilled",1,"1","1","good"
"3875","no checking",16,"existing paid","radio/tv",3568,"<100",">=7",4,"female div/dep/mar","none",2,"car",54,"bank","rent",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3876","<0",24,"existing paid","furniture/equipment",1747,"<100","<1",4,"male single","co applicant",1,"life insurance",24,"stores","own",1,"unskilled resident",1,"0","0","good"
"3877","no checking",24,"existing paid","radio/tv",2284,"<100","4<=X<7",4,"male single","none",2,"car",28,"stores","own",1,"skilled",1,"1","1","good"
"3878","<0",6,"critical/order existing credit","new car",609,"<100","4<=X<7",4,"female div/dep/mar","none",3,"life insurance",37,"stores","own",2,"skilled",1,"0","0","good"
"3879","no checking",15,"all paid","radio/tv",1569,"100<=X<500",">=7",4,"male single","none",4,"car",34,"bank","own",1,"unskilled resident",2,"0","1","good"
"3880","no checking",10,"existing paid","new car",1491.56,"<100","1<=X<4",2,"female div/dep/mar","none",4,"car",64,"stores","own",1,"skilled",1,"1","1","good"
"3881","<0",30,"existing paid","furniture/equipment",3622,">=1000",">=7",4,"female div/dep/mar","none",4,"life insurance",57,"stores","rent",2,"skilled",1,"1","1","good"
"3882","no checking",9,"critical/order existing credit","furniture/equipment",2429.79,"<100","unemployed",2,"male single","none",3,"car",31,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"3883","no checking",9,"critical/order existing credit","furniture/equipment",2406,"<100","unemployed",2,"male single","none",3,"car",31,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"3884","0<=X<200",48,"existing paid","other",5381,"no known savings","unemployed",3,"male single","none",4,"no known property",40,"bank","for free",1,"unemp/unskilled non res",1,"1","1","good"
"3885","<0",39,"critical/order existing credit","furniture/equipment",14179,"no known savings","4<=X<7",4,"male single","none",4,"life insurance",30,"stores","own",2,"high qualif/self emp/mgmt",1,"1","1","good"
"3886","<0",24,"all paid","furniture/equipment",2483,"500<=X<1000","1<=X<4",4,"male single","none",4,"real estate",22,"stores","own",1,"skilled",1,"1","1","good"
"3887","no checking",7,"delayed previously","radio/tv",846,"no known savings",">=7",3,"male single","none",4,"no known property",36,"stores","for free",1,"skilled",1,"0","1","good"
"3888",">=200",6,"delayed previously","radio/tv",683,"<100","<1",2,"female div/dep/mar","none",1,"life insurance",29,"bank","own",1,"skilled",1,"0","1","good"
"3889","no checking",24,"delayed previously","furniture/equipment",4151,"100<=X<500","1<=X<4",2,"male single","none",3,"life insurance",35,"stores","own",2,"skilled",1,"0","1","good"
"3890","0<=X<200",18,"critical/order existing credit","business",3590,"<100","unemployed",3,"male mar/wid","none",3,"car",40,"stores","own",3,"unemp/unskilled non res",2,"1","1","good"
"3891","no checking",24,"existing paid","radio/tv",2284,"<100","4<=X<7",4,"male single","none",2,"car",28,"stores","own",1,"skilled",1,"1","1","good"
"3892","no checking",18,"critical/order existing credit","new car",1055,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",30,"stores","own",2,"skilled",1,"0","1","good"
"3893","<0",12,"critical/order existing credit","new car",2171,"<100","1<=X<4",4,"male single","none",4,"life insurance",38,"bank","own",2,"unskilled resident",1,"0","0","good"
"3894","no checking",24,"existing paid","retraining",937,"<100","<1",4,"male mar/wid","none",3,"car",27,"stores","own",2,"unskilled resident",1,"0","1","good"
"3895","no checking",12,"critical/order existing credit","radio/tv",1291,"<100","1<=X<4",4,"female div/dep/mar","none",2,"life insurance",35,"stores","own",2,"skilled",1,"0","1","good"
"3896","no checking",9,"critical/order existing credit","furniture/equipment",2406,"<100","unemployed",2,"male single","none",3,"car",31,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"3897","no checking",12,"existing paid","new car",640,"<100","1<=X<4",4,"male div/sep","none",2,"real estate",49,"stores","own",1,"unskilled resident",1,"0","1","good"
"3898","no checking",24,"critical/order existing credit","furniture/equipment",2028,"<100","4<=X<7",2,"male single","none",2,"life insurance",30,"stores","own",2,"unskilled resident",1,"0","1","good"
"3899","no checking",18,"critical/order existing credit","radio/tv",1582,">=1000",">=7",4,"male single","none",4,"car",46,"stores","own",2,"skilled",1,"0","1","good"
"3900","no checking",6,"critical/order existing credit","radio/tv",1898,"no known savings","1<=X<4",1,"male single","none",2,"real estate",34,"stores","own",2,"unskilled resident",2,"0","1","good"
"3901","no checking",36,"critical/order existing credit","new car",3535,"<100","4<=X<7",4,"male single","none",4,"car",37,"stores","own",2,"skilled",1,"1","1","good"
"3902","<0",10,"critical/order existing credit","new car",1038,"<100","4<=X<7",4,"male single","co applicant",3,"life insurance",49,"stores","own",2,"skilled",1,"1","1","good"
"3903","no checking",12,"critical/order existing credit","furniture/equipment",1592,">=1000","4<=X<7",3,"female div/dep/mar","none",2,"life insurance",35,"stores","own",1,"skilled",1,"0","0","good"
"3904","0<=X<200",24,"delayed previously","furniture/equipment",2333,"no known savings","<1",4,"male single","none",2,"life insurance",29,"bank","own",1,"unskilled resident",1,"0","1","good"
"3905","no checking",15,"existing paid","new car",5324,"500<=X<1000",">=7",1,"female div/dep/mar","none",4,"no known property",35,"stores","for free",1,"skilled",1,"0","1","good"
"3906","<0",15,"delayed previously","furniture/equipment",3643,"<100",">=7",1,"female div/dep/mar","none",4,"life insurance",27,"stores","own",2,"unskilled resident",1,"0","1","good"
"3907","no checking",30,"critical/order existing credit","radio/tv",5771,"<100","4<=X<7",4,"female div/dep/mar","none",2,"car",25,"stores","own",2,"skilled",1,"0","1","good"
"3908","no checking",12,"critical/order existing credit","furniture/equipment",1935,"<100",">=7",4,"male single","none",4,"real estate",43,"stores","own",3,"skilled",1,"1","1","good"
"3909","no checking",12,"critical/order existing credit","repairs",1011.06,"no known savings","4<=X<7",4,"female div/dep/mar","none",4,"real estate",23,"stores","own",2,"skilled",1,"0","1","good"
"3910","no checking",4,"critical/order existing credit","new car",1455,"<100","4<=X<7",2,"male single","none",1,"real estate",42,"stores","own",3,"unskilled resident",2,"0","1","good"
"3911","<0",21,"existing paid","new car",3763,"no known savings","4<=X<7",2,"male single","co applicant",2,"real estate",24,"stores","own",1,"unskilled resident",1,"0","0","good"
"3912","no checking",10,"existing paid","new car",1597,"500<=X<1000","1<=X<4",3,"male single","none",2,"no known property",40,"stores","rent",1,"unskilled resident",2,"0","0","good"
"3913","0<=X<200",6,"existing paid","radio/tv",368,"no known savings",">=7",4,"male single","none",4,"life insurance",38,"stores","own",1,"skilled",1,"0","1","good"
"3914","no checking",12,"critical/order existing credit","furniture/equipment",5801,"no known savings",">=7",2,"male single","none",4,"life insurance",49,"stores","rent",1,"skilled",1,"1","1","good"
"3915","no checking",48,"delayed previously","radio/tv",12749,"500<=X<1000","4<=X<7",4,"male single","none",1,"car",37,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3916","0<=X<200",48,"no credits/all paid","new car",8358,"500<=X<1000","<1",1,"female div/dep/mar","none",1,"car",30,"stores","own",2,"skilled",1,"0","1","good"
"3917","no checking",18,"critical/order existing credit","new car",1028,"<100","1<=X<4",4,"female div/dep/mar","none",3,"real estate",36,"stores","own",2,"skilled",1,"0","1","good"
"3918","no checking",24,"existing paid","radio/tv",1901,"100<=X<500","1<=X<4",4,"male single","none",4,"car",29,"stores","rent",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3919","no checking",18,"critical/order existing credit","used car",3229,"no known savings","unemployed",2,"male single","none",4,"no known property",38,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3920","no checking",10,"existing paid","retraining",894,"no known savings","4<=X<7",4,"female div/dep/mar","none",3,"life insurance",40,"stores","own",1,"skilled",1,"1","1","good"
"3921","<0",15,"existing paid","furniture/equipment",1845,"<100","<1",4,"female div/dep/mar","guarantor",1,"life insurance",46,"stores","rent",1,"skilled",1,"0","1","good"
"3922","<0",18,"existing paid","furniture/equipment",2659,">=1000","1<=X<4",4,"male single","none",2,"car",28,"stores","own",1,"skilled",1,"0","1","good"
"3923","no checking",39,"existing paid","used car",2569,"500<=X<1000","1<=X<4",4,"male single","none",4,"car",24,"stores","own",1,"skilled",1,"0","1","good"
"3924","<0",12,"existing paid","radio/tv",2214,"<100","1<=X<4",4,"male single","none",3,"life insurance",24,"stores","own",1,"unskilled resident",1,"0","1","good"
"3925","no checking",24,"critical/order existing credit","business",4139,"100<=X<500","1<=X<4",3,"male single","none",3,"life insurance",27,"stores","own",2,"unskilled resident",1,"1","1","good"
"3926","no checking",21,"critical/order existing credit","used car",3275,"<100",">=7",1,"male single","none",4,"car",36,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3927","no checking",12,"existing paid","business",1076,"<100","1<=X<4",2.03,"male mar/wid","none",1,"real estate",26,"stores","own",1,"skilled",1,"1","0","good"
"3928","0<=X<200",30,"all paid","furniture/equipment",3496,">=1000","1<=X<4",4,"male single","none",2,"car",34,"stores","own",1,"skilled",2,"1","1","good"
"3929","0<=X<200",21,"critical/order existing credit","business",3652,"<100","4<=X<7",2,"male single","none",3,"life insurance",27,"stores","own",2,"skilled",1,"0","1","good"
"3930","no checking",9,"existing paid","business",1449,"<100","4<=X<7",3,"female div/dep/mar","none",2,"car",27,"stores","own",2,"skilled",1,"0","1","good"
"3931","no checking",24,"critical/order existing credit","education",1597,"<100",">=7",4,"male single","none",4,"no known property",54,"stores","for free",2,"skilled",2,"0","1","good"
"3932","<0",12,"existing paid","furniture/equipment",652,"<100",">=7",4,"female div/dep/mar","none",4,"life insurance",24,"stores","rent",1,"skilled",1,"0","1","good"
"3933","0<=X<200",30,"all paid","furniture/equipment",3496,">=1000","1<=X<4",4,"male single","none",2,"car",34,"stores","own",1,"skilled",1,"1","1","good"
"3934","no checking",30,"critical/order existing credit","radio/tv",5954,"<100","4<=X<7",3,"male single","co applicant",2,"car",38,"stores","own",1,"skilled",1,"0","1","good"
"3935","no checking",48,"critical/order existing credit","radio/tv",3578,"no known savings",">=7",4,"male single","none",1,"real estate",47,"stores","own",1,"skilled",1,"1","1","good"
"3936","no checking",36,"critical/order existing credit","radio/tv",9566,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",31,"stores","own",2,"skilled",1,"0","1","good"
"3937",">=200",6,"critical/order existing credit","education",1047,"<100","1<=X<4",2,"female div/dep/mar","none",4,"life insurance",50,"stores","own",1,"unskilled resident",1,"0","1","good"
"3938","no checking",30,"delayed previously","business",4272,"100<=X<500","1<=X<4",2,"male single","none",2,"life insurance",26,"stores","own",2,"unskilled resident",1,"0","1","good"
"3939","0<=X<200",6,"existing paid","radio/tv",753,"<100","1<=X<4",2,"female div/dep/mar","guarantor",3,"real estate",64,"stores","own",1,"skilled",1,"0","1","good"
"3940","0<=X<200",24,"delayed previously","new car",1965,"no known savings","1<=X<4",4,"female div/dep/mar","none",4,"car",42,"stores","rent",2,"skilled",1,"1","1","good"
"3941","no checking",12,"critical/order existing credit","new car",1334.14,"500<=X<1000","1<=X<4",4,"male single","none",4,"real estate",44,"stores","own",1,"skilled",1,"1","1","good"
"3942","no checking",12,"existing paid","new car",2390,"no known savings",">=7",4,"male single","none",3,"car",50,"stores","own",1,"skilled",1,"1","1","good"
"3943","no checking",4,"critical/order existing credit","new car",3380,"<100","4<=X<7",1.01,"female div/dep/mar","none",1,"real estate",37,"stores","own",1,"skilled",2,"0","1","good"
"3944","<0",21,"existing paid","radio/tv",2606,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",28,"stores","rent",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3945","no checking",6,"no credits/all paid","radio/tv",426,"<100",">=7",4,"male mar/wid","none",4,"car",39,"stores","own",1,"unskilled resident",1,"0","1","good"
"3946","<0",24,"existing paid","furniture/equipment",4020,"<100","1<=X<4",2.1,"male single","none",2,"car",27,"stores","own",1,"skilled",1,"0","1","good"
"3947","no checking",24,"critical/order existing credit","education",1927,"no known savings","1<=X<4",3,"female div/dep/mar","none",2,"car",33,"stores","own",2,"skilled",1,"1","1","good"
"3948","no checking",30,"existing paid","radio/tv",2333,"500<=X<1000",">=7",4,"male single","none",2,"car",30,"bank","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"3949","no checking",21,"critical/order existing credit","furniture/equipment",2288,"<100","<1",4,"female div/dep/mar","none",4,"life insurance",23,"stores","own",1,"skilled",1,"1","1","good"
"3950",">=200",15,"critical/order existing credit","used car",2360,"500<=X<1000","1<=X<4",2,"male single","none",2,"car",36,"stores","own",1,"skilled",1,"1","1","good"
"3951","0<=X<200",18,"critical/order existing credit","furniture/equipment",7374,"<100","unemployed",4,"male single","none",4,"life insurance",40,"stores","own",2,"high qualif/self emp/mgmt",1,"1","1","good"
"3952","no checking",6,"existing paid","furniture/equipment",2978,"500<=X<1000","1<=X<4",1,"male single","none",2,"car",32,"stores","own",1,"skilled",1,"1","1","good"
"3953",">=200",4,"existing paid","new car",1494,"no known savings","<1",1.36,"male single","none",2,"real estate",29,"stores","own",1,"unskilled resident",2,"0","0","good"
"3954","no checking",12,"critical/order existing credit","new car",682,"100<=X<500","4<=X<7",4,"female div/dep/mar","none",3,"car",51,"stores","own",2,"skilled",1,"1","1","good"
"3955","<0",21,"critical/order existing credit","new car",571,"<100",">=7",4,"male single","none",4,"real estate",65,"stores","own",2,"skilled",1,"0","1","good"
"3956","no checking",24,"critical/order existing credit","furniture/equipment",1585,"<100","4<=X<7",4,"male single","none",3,"life insurance",40,"stores","own",2,"skilled",1,"0","1","good"
"3957","no checking",24,"critical/order existing credit","radio/tv",2684,"<100","1<=X<4",4,"male single","none",2,"real estate",35,"stores","own",2,"unskilled resident",1,"0","1","good"
"3958","0<=X<200",6,"existing paid","radio/tv",2063,"<100","<1",4,"male mar/wid","none",3,"car",30,"stores","rent",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3959","no checking",12,"existing paid","radio/tv",886,"no known savings","1<=X<4",4,"female div/dep/mar","none",2,"car",21,"stores","own",1,"skilled",1,"0","1","good"
"3960","0<=X<200",11,"existing paid","furniture/equipment",1577,">=1000","<1",4,"female div/dep/mar","none",1,"real estate",20,"stores","own",1,"skilled",1,"0","1","good"
"3961",">=200",12,"existing paid","radio/tv",3399,"no known savings",">=7",2,"male single","none",3,"car",37,"stores","own",1,"high qualif/self emp/mgmt",1,"0","1","good"
"3962","no checking",4,"critical/order existing credit","new car",3380,"<100","4<=X<7",1.01,"female div/dep/mar","none",1,"real estate",37,"stores","own",1,"skilled",2,"0","1","good"
"3963","no checking",24,"critical/order existing credit","radio/tv",1851,"<100","4<=X<7",4,"male mar/wid","guarantor",2,"car",33,"stores","own",2,"skilled",1,"1","1","good"
"3964",">=200",12,"existing paid","radio/tv",1881,"<100","1<=X<4",2,"female div/dep/mar","none",2,"car",44,"stores","rent",1,"unskilled resident",1,"1","1","good"
"3965","<0",12,"existing paid","new car",3651,">=1000","1<=X<4",1,"male single","none",3,"life insurance",31,"stores","own",1,"skilled",2,"0","1","good"
"3966","no checking",30,"existing paid","used car",4811,"no known savings","4<=X<7",2,"female div/dep/mar","none",4,"life insurance",24,"stores","rent",1,"unskilled resident",1,"0","1","good"
"3967","no checking",12,"critical/order existing credit","new car",926,"<100","unemployed",1,"female div/dep/mar","none",2,"life insurance",38,"stores","own",1,"unemp/unskilled non res",1,"0","1","good"
"3968","no checking",18,"existing paid","radio/tv",1453,"<100","<1",3,"female div/dep/mar","none",1,"real estate",26,"stores","own",1,"skilled",1,"0","1","good"
"3969","no checking",24,"critical/order existing credit","radio/tv",2424,"no known savings",">=7",4,"male single","none",4,"life insurance",53,"stores","own",2,"skilled",1,"0","1","good"
"3970","no checking",24,"critical/order existing credit","radio/tv",2578,">=1000",">=7",2,"male single","none",2,"car",34,"stores","own",1,"skilled",1,"0","1","good"
"3971","no checking",10,"existing paid","new car",1597,"500<=X<1000","1<=X<4",3,"male single","none",2,"no known property",40,"stores","rent",1,"unskilled resident",2,"0","0","good"
"3972","0<=X<200",24,"existing paid","furniture/equipment",4351,"no known savings","1<=X<4",1,"female div/dep/mar","none",4,"life insurance",48,"stores","own",1,"unskilled resident",1,"1","1","good"
"3973","0<=X<200",18,"critical/order existing credit","furniture/equipment",1295,"<100","<1",4,"female div/dep/mar","none",1,"life insurance",27,"stores","own",2,"skilled",1,"0","1","good"
"3974","<0",36,"critical/order existing credit","furniture/equipment",5371,"<100","1<=X<4",3,"male single","guarantor",2,"life insurance",28,"stores","own",2,"skilled",1,"0","1","good"
"3975","no checking",9,"critical/order existing credit","new car",2134,"<100","1<=X<4",4,"male single","none",4,"car",48,"stores","own",3,"skilled",1,"1","1","good"
"3976","no checking",12,"critical/order existing credit","new car",1255,"<100",">=7",4,"male single","none",4,"real estate",61,"stores","own",2,"unskilled resident",1,"0","1","good"
"3977","no checking",18,"critical/order existing credit","radio/tv",629,"500<=X<1000",">=7",4,"male single","none",3,"life insurance",32,"bank","own",2,"high qualif/self emp/mgmt",1,"1","1","good"
"3978","no checking",10,"existing paid","retraining",894,"no known savings","4<=X<7",4,"female div/dep/mar","none",3,"life insurance",40,"stores","own",1,"skilled",1,"1","1","good"
"3979","<0",24,"existing paid","used car",2910,"<100","4<=X<7",2,"male single","none",1,"no known property",34,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3980","no checking",27,"critical/order existing credit","furniture/equipment",4526,">=1000","<1",4,"male single","none",2,"real estate",32,"stores","own",2,"unskilled resident",2,"1","1","good"
"3981","no checking",5,"existing paid","business",3448,"<100","4<=X<7",1,"male single","none",4,"real estate",74,"stores","own",1,"unskilled resident",1,"0","1","good"
"3982","0<=X<200",12,"existing paid","new car",7472,"no known savings","unemployed",1.02,"female div/dep/mar","none",2,"real estate",24,"stores","rent",1,"unemp/unskilled non res",1,"0","1","good"
"3983","no checking",24,"existing paid","radio/tv",3430,"500<=X<1000",">=7",3,"male single","none",2,"car",31,"stores","own",1,"skilled",2,"1","1","good"
"3984","<0",47,"existing paid","new car",10722,"<100","<1",1,"female div/dep/mar","none",1,"real estate",35,"stores","own",1,"unskilled resident",1,"1","1","good"
"3985","<0",6,"existing paid","radio/tv",2647,"500<=X<1000","1<=X<4",2,"male single","none",2,"real estate",44,"stores","rent",1,"skilled",2,"0","1","good"
"3986","no checking",20,"critical/order existing credit","new car",3485,"no known savings","<1",2,"male div/sep","none",4,"real estate",44,"stores","own",2,"skilled",1,"1","1","good"
"3987","<0",9,"critical/order existing credit","new car",2799,"<100","1<=X<4",2,"male single","none",2,"real estate",36,"stores","rent",2,"skilled",2,"0","1","good"
"3988","<0",12,"existing paid","furniture/equipment",1858,"<100","<1",4,"female div/dep/mar","none",1,"car",22,"stores","rent",1,"skilled",1,"0","1","good"
"3989","no checking",6,"critical/order existing credit","radio/tv",700,"no known savings",">=7",4,"male single","none",4,"no known property",36,"stores","for free",2,"skilled",1,"0","1","good"
"3990",">=200",12,"all paid","radio/tv",409,">=1000","1<=X<4",3,"female div/dep/mar","none",3,"real estate",42,"stores","rent",2,"skilled",1,"0","1","good"
"3991","no checking",24,"critical/order existing credit","radio/tv",2611,"<100",">=7",4,"male mar/wid","co applicant",3,"real estate",46,"stores","own",2,"skilled",1,"0","1","good"
"3992",">=200",24,"critical/order existing credit","furniture/equipment",3617,"no known savings",">=7",4,"male single","co applicant",4,"no known property",20,"stores","rent",2,"skilled",1,"0","1","good"
"3993","0<=X<200",48,"delayed previously","other",7582,"100<=X<500","unemployed",2,"male single","none",4,"no known property",31,"stores","for free",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3994","no checking",12,"critical/order existing credit","radio/tv",1240,"no known savings",">=7",4,"female div/dep/mar","none",2,"real estate",38,"stores","own",2,"skilled",1,"1","1","good"
"3995","<0",30,"existing paid","used car",3857,"<100","1<=X<4",4,"male div/sep","none",4,"life insurance",40,"stores","own",1,"high qualif/self emp/mgmt",1,"1","1","good"
"3996","0<=X<200",8,"existing paid","radio/tv",1414,"<100","1<=X<4",4,"male single","guarantor",2,"real estate",33,"stores","own",1,"skilled",1,"0","0","good"
"3997","no checking",28,"all paid","used car",7824,"no known savings","<1",3,"male single","guarantor",4,"real estate",40,"bank","rent",2,"skilled",2,"1","1","good"
"3998","0<=X<200",26,"existing paid","used car",7966,"<100","<1",2,"male single","none",3,"car",30,"stores","own",2,"skilled",1,"0","1","good"
"3999","0<=X<200",8,"existing paid","radio/tv",1414,"<100","1<=X<4",4,"male single","guarantor",2,"real estate",33,"stores","own",1,"skilled",1,"0","0","good"
"4000",">=200",12,"all paid","radio/tv",409,">=1000","1<=X<4",3,"female div/dep/mar","none",3,"real estate",42,"stores","rent",2,"skilled",1,"0","1","good"
"4001","0<=X<200",12,"existing paid","radio/tv",1155,"<100",">=7",3,"male mar/wid","guarantor",3,"real estate",40,"bank","own",2,"unskilled resident",1,"0","1","good"
"4002","no checking",24,"existing paid","furniture/equipment",5511,"100<=X<500","1<=X<4",4,"male single","none",1,"car",25,"stores","own",1,"skilled",1,"0","1","good"
"4003","no checking",36,"existing paid","radio/tv",3835,"no known savings",">=7",2,"female div/dep/mar","none",4,"real estate",45,"stores","own",1,"unskilled resident",1,"1","1","good"
"4004","no checking",6,"critical/order existing credit","new car",2080,"500<=X<1000","1<=X<4",1,"male mar/wid","none",2,"car",24,"stores","own",1,"skilled",1,"0","1","good"
"4005","no checking",24,"critical/order existing credit","radio/tv",2578,">=1000",">=7",2,"male single","none",2,"car",34,"stores","own",1,"skilled",1,"0","1","good"
"4006","<0",12,"existing paid","furniture/equipment",1262,"no known savings",">=7",2,"male div/sep","none",4,"life insurance",49,"stores","own",1,"unskilled resident",1,"1","1","good"
"4007","no checking",12,"existing paid","radio/tv",2073,"100<=X<500","1<=X<4",4,"female div/dep/mar","co applicant",2,"real estate",28,"stores","own",1,"skilled",1,"0","1","good"
"4008","no checking",11,"critical/order existing credit","radio/tv",1154,"100<=X<500","unemployed",4,"female div/dep/mar","none",4,"real estate",57,"stores","own",3,"unskilled resident",1,"0","1","good"
"4009","<0",12,"critical/order existing credit","used car",1526,"<100",">=7",4,"male single","none",4,"no known property",66,"stores","for free",2,"high qualif/self emp/mgmt",1,"0","1","good"
"4010",">=200",12,"all paid","radio/tv",409,">=1000","1<=X<4",3,"female div/dep/mar","none",3,"real estate",42,"stores","rent",2,"skilled",1,"0","1","good"
"4011","no checking",7,"delayed previously","radio/tv",846,"no known savings",">=7",3,"male single","none",4,"no known property",36,"stores","for free",1,"skilled",1,"0","1","good"
"4012","<0",9,"critical/order existing credit","repairs",1288,"100<=X<500",">=7",3,"male single","guarantor",4,"real estate",48,"stores","own",2,"skilled",1,"0","0","good"
"4013","0<=X<200",24,"existing paid","radio/tv",5084,"no known savings",">=7",2,"female div/dep/mar","none",4,"car",42,"stores","own",1,"skilled",1,"1","1","good"
"4014","0<=X<200",36,"all paid","domestic appliance",3990,"no known savings","<1",3,"female div/dep/mar","none",2,"no known property",29,"bank","own",1,"unemp/unskilled non res",1,"0","1","good"
